year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000345,116.9258,24.8182,,,
1994,S000346,117.443,25.2364,,,
1994,S000347,114.6968,30.0133,,,
1994,S000348,114.862,30.2888,166.0,鄂州市,Ezhou
1994,S000349,115.1458,28.0329,,,
1994,S000350,115.5089,28.1714,,,
1994,S000351,101.7113,36.5306,272.0,西宁市,Xining
1994,S000352,103.5252,35.9605,,,
1994,S000353,104.6036,28.7066,234.0,宜宾市,Yibin
1994,S000354,104.9616,29.489,230.0,内江市,Neijiang
1994,S000355,120.7213,41.1569,,,
1994,S000356,121.0846,41.0274,40.0,锦州市,Jinzhou
1994,S000357,119.9293,49.2242,31.0,呼伦贝尔市,Hulunbeir
1994,S000358,120.8617,49.2805,,,
1994,S000359,113.907,36.1376,,,
1994,S000360,114.1432,36.1482,,,
1994,S000361,114.1251,36.2393,,,
1994,S000362,114.3812,36.086,148.0,安阳市,Anyang
1994,S000363,115.5143,28.1757,,,
1994,S000364,115.7061,28.2349,,,
1994,S000365,113.3513,34.4578,,,
1994,S000366,113.8188,34.3538,,,
1994,S000367,123.6889,42.4456,,,
1994,S000368,123.8492,42.2966,45.0,铁岭市,Tieling
1994,S000369,123.3343,42.7418,,,
1994,S000370,123.6827,42.4462,,,
1994,S000371,107.3378,26.4844,,,
1994,S000372,108.0929,24.6479,216.0,河池市,Hechi
1994,S000373,108.098,24.6433,216.0,河池市,Hechi
1994,S000374,109.172,24.3341,,,
1994,S000375,116.6615,40.3315,,,
1994,S000376,116.6756,40.2855,,,
1994,S000377,116.6545,40.2548,,,
1994,S000378,117.9734,40.7461,,,
1994,S000379,120.8685,49.28,,,
1994,S000380,121.9627,48.7188,,,
1994,S000381,116.6185,40.125,,,
1994,S000382,116.7334,39.8562,,,
1994,S000383,114.0751,38.2349,,,
1994,S000384,114.4363,38.0468,3.0,石家庄市,Shijiazhuang
1994,S000385,111.4878,27.1473,177.0,邵阳市,Shaoyang
1994,S000386,112.0469,27.4953,,,
1994,S000387,109.5749,24.567,,,
1994,S000388,109.6757,24.3507,,,
1994,S000389,124.0349,42.5667,,,
1994,S000390,124.9232,42.7257,,,
1994,S000391,104.1499,31.4127,,,
1994,S000392,104.3776,31.0964,226.0,德阳市,Deyang
1994,S000393,103.6379,30.95,,,
1994,S000394,104.2026,30.8198,,,
1994,S000395,116.5251,36.216,,,
1994,S000396,117.0654,36.2008,135.0,泰安市,Taian
1994,S000397,99.0096,39.3137,,,
1994,S000398,100.2591,41.0306,,,
1994,S000399,100.2573,41.0441,,,
1994,S000400,100.5381,41.8656,,,
1994,S000401,121.9755,48.7131,,,
1994,S000402,123.7103,47.2559,56.0,齐齐哈尔市,Qiqihar
1994,S000403,117.1169,35.822,,,
1994,S000404,117.824,36.0069,,,
1994,S000405,124.1537,41.0742,,,
1994,S000406,124.5857,40.8496,,,
1994,S000407,88.9088,43.0917,,,
1994,S000408,97.5544,39.8594,,,
1994,S000409,97.5492,39.8543,,,
1994,S000410,97.8776,39.7434,,,
1994,S000411,97.5604,39.86,,,
1994,S000412,97.8769,39.7478,,,
1994,S000413,97.8844,39.7394,,,
1994,S000414,98.0762,39.6793,,,
1994,S000415,98.0769,39.6748,,,
1994,S000416,99.0103,39.3092,,,
1994,S000417,99.0169,39.3052,,,
1994,S000418,102.831,37.7486,,,
1994,S000419,102.8322,37.178,,,
1994,S000420,104.085,35.9244,,,
1994,S000421,87.4445,43.7407,278.0,乌鲁木齐市,Urumqi
1994,S000422,88.904,43.0863,,,
1994,S000423,123.7094,47.2513,,,
1994,S000424,123.8697,47.1756,56.0,齐齐哈尔市,Qiqihar
1994,S000425,121.306,51.1903,,,
1994,S000426,122.2193,52.1215,,,
1994,S000427,120.8632,49.2897,,,
1994,S000428,121.845,50.1485,,,
1994,S000429,114.5607,38.7392,,,
1994,S000430,114.9918,38.5109,,,
