year,station_id,station_name,province,degree_centrality,betweenness_centrality,closeness_centrality
1936,ST0019,北京市,北京市,0.03488372093023256,0.06976744186046512,0.0006295146801538687
1936,ST0020,吉林市,吉林省,0.03488372093023256,0.03502051983584131,0.0005881148274596786
1936,ST0021,四平市,吉林省,0.046511627906976744,0.10807113543091655,0.0007436076175838819
1936,ST0022,白城市,吉林省,0.046511627906976744,0.04459644322845417,0.0006706282548138279
1936,ST0023,白山市,吉林省,0.023255813953488372,0.0,0.00047583872752998625
1936,ST0024,辽源市,吉林省,0.046511627906976744,0.11080711354309165,0.0007839613663838644
1936,ST0025,通化市,吉林省,0.011627906976744186,0.0,0.0007784234024223229
1936,ST0026,长春市,吉林省,0.046511627906976744,0.04404924760601915,0.0006334182324425442
1936,ST0045,天津市,天津市,0.046511627906976744,0.07441860465116279,0.0006872927908666924
1936,ST0055,宿州市,安徽省,0.023255813953488372,0.038303693570451436,7.514297457686437e-05
